"title","artiste_name","video","audio","views","likes","comments","like_pct","comment_pct","engagement_rate","promotion_priority"
"Agenda (Audio Slide)","Shatta Wale","",1,55290,4694,592,"8.49","1.07","9.56","🔥 HIGH PRIORITY - Hidden Gem, Needs Promotion"
"I No Taya (Audio Slide)","Shatta Wale","",1,29732,2675,421,"9.00","1.42","10.41","🔥 HIGH PRIORITY - Hidden Gem, Needs Promotion"
"God People (Audio Slide)","Shatta Wale","",1,29849,4155,627,"13.92","2.10","16.02","🔥 HIGH PRIORITY - Hidden Gem, Needs Promotion"
"Letter To Maali (Audio Slide)","Shatta Wale","",1,46410,4362,709,"9.40","1.53","10.93","🔥 HIGH PRIORITY - Hidden Gem, Needs Promotion"
"Street Kings (Audio Slide)","Shatta Wale","",1,42890,3830,507,"8.93","1.18","10.11","🔥 HIGH PRIORITY - Hidden Gem, Needs Promotion"
"1 Man 1000 Cases (Audio Slide)","Shatta Wale","",1,39015,3249,362,"8.33","0.93","9.26","🔥 HIGH PRIORITY - Hidden Gem, Needs Promotion"
"Destiny (Audio Slide)","Shatta Wale","",1,60812,5559,709,"9.14","1.17","10.31","🔥 HIGH PRIORITY - Hidden Gem, Needs Promotion"
"Bow Down (Audio Slide)","Shatta Wale","",1,16309,1450,150,"8.89","0.92","9.81","🔥 HIGH PRIORITY - Hidden Gem, Needs Promotion"
"Top Boss (Audio Slide)","Shatta Wale","",1,40210,4725,897,"11.75","2.23","13.98","🔥 HIGH PRIORITY - Hidden Gem, Needs Promotion"
"Bigger Everyday (Audio Slide)","Shatta Wale","",1,18013,1585,165,"8.80","0.92","9.72","🔥 HIGH PRIORITY - Hidden Gem, Needs Promotion"
"Wake Up (Audio Slide)","Shatta Wale","",1,53619,4478,601,"8.35","1.12","9.47","🔥 HIGH PRIORITY - Hidden Gem, Needs Promotion"
"Forgive You (Audio Slide)","Shatta Wale","",1,35404,2860,400,"8.08","1.13","9.21","🔥 HIGH PRIORITY - Hidden Gem, Needs Promotion"
"Lambo Drama (Audio Slide)","Shatta Wale","",1,21362,1816,192,"8.50","0.90","9.40","🔥 HIGH PRIORITY - Hidden Gem, Needs Promotion"
"Gift Of God Album Cover","Shatta Wale",1,"",60485,5637,597,"9.32","0.99","10.31","🔥 HIGH PRIORITY - Hidden Gem, Needs Promotion"
"Gog Roll Out","Shatta Wale",1,"",61865,4965,403,"8.03","0.65","8.68","🔥 HIGH PRIORITY - Hidden Gem, Needs Promotion"
"Top Gyallis Day (Audio Slide)","Shatta Wale","",1,36441,3012,357,"8.27","0.98","9.25","🔥 HIGH PRIORITY - Hidden Gem, Needs Promotion"
"God Soldiers (Audio Slide)","Shatta Wale","",1,33725,2740,339,"8.12","1.01","9.13","🔥 HIGH PRIORITY - Hidden Gem, Needs Promotion"
"Shatta Movement Army (Audio Slide)","Shatta Wale","",1,33417,3838,504,"11.49","1.51","12.99","🔥 HIGH PRIORITY - Hidden Gem, Needs Promotion"
"48Hrs (Audio Slide)","Shatta Wale","",1,73165,6666,1393,"9.11","1.90","11.01","🔥 HIGH PRIORITY - Hidden Gem, Needs Promotion"
"Hold You Close (Audio Slide)","Shatta Wale","",1,29582,2771,400,"9.37","1.35","10.72","🔥 HIGH PRIORITY - Hidden Gem, Needs Promotion"
"Look Stupid (Audio Slide)","Shatta Wale","",1,21749,1976,221,"9.09","1.02","10.10","🔥 HIGH PRIORITY - Hidden Gem, Needs Promotion"
"No No No (Audio Slide)","Shatta Wale","",1,35002,4586,618,"13.10","1.77","14.87","🔥 HIGH PRIORITY - Hidden Gem, Needs Promotion"
"Genzi (Audio Slide)","Shatta Wale","",1,32784,3067,367,"9.36","1.12","10.47","🔥 HIGH PRIORITY - Hidden Gem, Needs Promotion"
"My Fav Youtubers (Audio Slide)","Shatta Wale","",1,49125,5122,941,"10.43","1.92","12.34","🔥 HIGH PRIORITY - Hidden Gem, Needs Promotion"
"Maybe (Audio Slide)","Shatta Wale","",1,34678,3270,492,"9.43","1.42","10.85","🔥 HIGH PRIORITY - Hidden Gem, Needs Promotion"
"Tek Di Yellow (Audio Slide)","Shatta Wale","",1,42537,4683,651,"11.01","1.53","12.54","🔥 HIGH PRIORITY - Hidden Gem, Needs Promotion"
"Block You (Audio Slide)","Shatta Wale","",1,50643,4562,678,"9.01","1.34","10.35","🔥 HIGH PRIORITY - Hidden Gem, Needs Promotion"
"Are You Sure (Audio Slide)","Shatta Wale","",1,65555,6635,1043,"10.12","1.59","11.71","🔥 HIGH PRIORITY - Hidden Gem, Needs Promotion"
"When We Deh Come (Audio Slide)","Shatta Wale","",1,62250,5421,789,"8.71","1.27","9.98","🔥 HIGH PRIORITY - Hidden Gem, Needs Promotion"
"Bad Boy Sweet (Audio Slide)","Shatta Wale","",1,22456,2188,299,"9.74","1.33","11.07","🔥 HIGH PRIORITY - Hidden Gem, Needs Promotion"
"4Lyf - Freestyle (Audio Slide)","Shatta Wale","",1,30955,4385,588,"14.17","1.90","16.07","🔥 HIGH PRIORITY - Hidden Gem, Needs Promotion"
"Betting Tax (Audio Slide)","Shatta Wale","",1,103760,6381,840,"6.15","0.81","6.96","📈 MEDIUM PRIORITY - Growth Opportunity"
"Dues (Official Audio)","Shatta Wale","",1,61286,3977,465,"6.49","0.76","7.25","📈 MEDIUM PRIORITY - Growth Opportunity"
"Allow (Official Audio)","Shatta Wale","",1,83654,4724,643,"5.65","0.77","6.42","📈 MEDIUM PRIORITY - Growth Opportunity"
"Munga Honorable, Tifa, Party With The Stars (Audio Visual)","Shatta Wale","",1,55197,2948,305,"5.34","0.55","5.89","📈 MEDIUM PRIORITY - Growth Opportunity"
"Trust No Telephone (Audio Slide)","Shatta Wale","",1,71033,4435,556,"6.24","0.78","7.03","📈 MEDIUM PRIORITY - Growth Opportunity"
"Shingbele (Official Audio)","Shatta Wale","",1,99876,6381,807,"6.39","0.81","7.20","📈 MEDIUM PRIORITY - Growth Opportunity"
"Azaa Ft. Ypee (Audio Slide)","Shatta Wale","",1,107288,6338,649,"5.91","0.60","6.51","📈 MEDIUM PRIORITY - Growth Opportunity"
"No Cap (Audio Slide)","Shatta Wale","",1,54164,3632,518,"6.71","0.96","7.66","📈 MEDIUM PRIORITY - Growth Opportunity"
"Play Nonesense (Audio Slide)","Shatta Wale","",1,73145,4784,659,"6.54","0.90","7.44","📈 MEDIUM PRIORITY - Growth Opportunity"
"Born Great (Official Audio)","Shatta Wale","",1,66193,4059,519,"6.13","0.78","6.92","📈 MEDIUM PRIORITY - Growth Opportunity"
"P.I.C. [Partner In Crime] (Audio Slide)","Shatta Wale","",1,50482,3621,496,"7.17","0.98","8.16","📈 MEDIUM PRIORITY - Growth Opportunity"
"My Story (Lyric Video)","Shatta Wale",1,"",53015,3815,453,"7.20","0.85","8.05","📈 MEDIUM PRIORITY - Growth Opportunity"
"Shatta Wale Ft. Opanka - Understand (Lyric Video)","Shatta Wale",1,"",59495,3971,438,"6.67","0.74","7.41","📈 MEDIUM PRIORITY - Growth Opportunity"
"One Of A Kind (Audio Slide)","Shatta Wale","",1,74491,4531,636,"6.08","0.85","6.94","📈 MEDIUM PRIORITY - Growth Opportunity"
"Brutally Honest (Audio Slide)","Shatta Wale","",1,75438,4809,823,"6.37","1.09","7.47","📈 MEDIUM PRIORITY - Growth Opportunity"
"London Bridge (Audio Slide)","Shatta Wale","",1,76889,4656,746,"6.06","0.97","7.03","📈 MEDIUM PRIORITY - Growth Opportunity"
"Murky (Rolls Royce Pt 3)","Shatta Wale",1,"",73255,4443,521,"6.07","0.71","6.78","📈 MEDIUM PRIORITY - Growth Opportunity"
"Automatically (Audio Slide)","Shatta Wale","",1,84092,5576,852,"6.63","1.01","7.64","📈 MEDIUM PRIORITY - Growth Opportunity"
"Rookie (Audio Slide)","Shatta Wale","",1,98200,6215,924,"6.33","0.94","7.27","📈 MEDIUM PRIORITY - Growth Opportunity"
"Kumerica (Audio Slide)","Shatta Wale","",1,168952,8701,982,"5.15","0.58","5.73","📈 MEDIUM PRIORITY - Growth Opportunity"
"Rolls Royce (Part 2) Audio Slide","Shatta Wale","",1,97088,4874,685,"5.02","0.71","5.73","📈 MEDIUM PRIORITY - Growth Opportunity"
"How Far (Video)","Shatta Wale",1,"",114191,8100,706,"7.09","0.62","7.71","📈 MEDIUM PRIORITY - Growth Opportunity"
"Ain'T Nobody","Shatta Wale x John Legend","",1,314384,26000,5537,"8.27","1.76","10.03","📈 MEDIUM PRIORITY - Growth Opportunity"
"Standard (Audio Slide)","Shatta Wale","",1,66551,4325,586,"6.50","0.88","7.38","📈 MEDIUM PRIORITY - Growth Opportunity"
"Star Sign (Official Audio Slide)","Shatta Wale","",1,69211,4618,602,"6.67","0.87","7.54","📈 MEDIUM PRIORITY - Growth Opportunity"
"Keep Trying (Lyric Video)","Shatta Wale",1,"",56173,3274,275,"5.83","0.49","6.32","📈 MEDIUM PRIORITY - Growth Opportunity"
"Greatest (Audio Slide)","Shatta Wale","",1,66294,4217,679,"6.36","1.02","7.39","📈 MEDIUM PRIORITY - Growth Opportunity"
"Hustle Go Pay (Audio Slide)","Shatta Wale","",1,117979,6333,823,"5.37","0.70","6.07","📈 MEDIUM PRIORITY - Growth Opportunity"
"Lyrical Tatoo (Audio Slide)","Shatta Wale","",1,71912,3915,577,"5.44","0.80","6.25","📈 MEDIUM PRIORITY - Growth Opportunity"
"Alien (Audio Slide)","Shatta Wale","",1,59570,3131,473,"5.26","0.79","6.05","📈 MEDIUM PRIORITY - Growth Opportunity"
"Mr Pundit (Audio Slide)","Shatta Wale","",1,89625,5792,553,"6.46","0.62","7.08","📈 MEDIUM PRIORITY - Growth Opportunity"
"Shatta Wale, DJ Mac, Crash Dummy - Danger (Official Music Video ) | Wyfl Riddim","Shatta Wale",1,"",226545,13574,1641,"5.99","0.72","6.72","📈 MEDIUM PRIORITY - Growth Opportunity"
"Book Of Psalms (Audio Slide)","Shatta Wale","",1,67390,3729,398,"5.53","0.59","6.12","📈 MEDIUM PRIORITY - Growth Opportunity"
"Deh Guard (Audio Slide)","Shatta Wale","",1,90669,5207,651,"5.74","0.72","6.46","📈 MEDIUM PRIORITY - Growth Opportunity"
"Knock Lock (Audio Slide)","Shatta Wale","",1,58919,3051,300,"5.18","0.51","5.69","📈 MEDIUM PRIORITY - Growth Opportunity"
"Future Dollar (Audio Slide)","Shatta Wale","",1,76427,3885,575,"5.08","0.75","5.84","📈 MEDIUM PRIORITY - Growth Opportunity"
"Zombie (Audio Slide)","Shatta Wale","",1,94747,5799,574,"6.12","0.61","6.73","📈 MEDIUM PRIORITY - Growth Opportunity"
"April Fool (Animation Video)","Shatta Wale",1,"",63311,3214,211,"5.08","0.33","5.41","📈 MEDIUM PRIORITY - Growth Opportunity"
"Tell Ya Man (Official Video)","Shatta Wale",1,"",135215,10088,1059,"7.46","0.78","8.24","📈 MEDIUM PRIORITY - Growth Opportunity"
"Mafia (Audio Slide)","Shatta Wale","",1,59277,3573,443,"6.03","0.75","6.77","📈 MEDIUM PRIORITY - Growth Opportunity"
"Society Contract (Audio Slide)","Shatta Wale","",1,89524,6221,867,"6.95","0.97","7.92","📈 MEDIUM PRIORITY - Growth Opportunity"
"Lonely Victory (Audio Slide)","Shatta Wale","",1,119826,7226,1043,"6.03","0.87","6.90","📈 MEDIUM PRIORITY - Growth Opportunity"
"Wha’ Da …#&@***","Shatta Wale",1,"",98599,6435,851,"6.53","0.86","7.39","📈 MEDIUM PRIORITY - Growth Opportunity"
"Trackers Minds (Audio Slide)","Shatta Wale","",1,119556,6860,1033,"5.74","0.86","6.60","📈 MEDIUM PRIORITY - Growth Opportunity"
"Rise Anyway (Audio Slide)","Shatta Wale","",1,74516,4891,831,"6.56","1.12","7.68","📈 MEDIUM PRIORITY - Growth Opportunity"
"Hunter (Audio Slide)","Shatta Wale","",1,160726,8839,1151,"5.50","0.72","6.22","📈 MEDIUM PRIORITY - Growth Opportunity"
"Boss A Di Whole Place (Audio Slide)","Shatta Wale","",1,64195,4606,761,"7.18","1.19","8.36","📈 MEDIUM PRIORITY - Growth Opportunity"
"2026 (Audio Slide)","Shatta Wale","",1,180691,10994,1950,"6.08","1.08","7.16","📈 MEDIUM PRIORITY - Growth Opportunity"
"M.O.E.T (Official Video)","Shatta Wale",1,"",193351,10623,1046,"5.49","0.54","6.04","📈 MEDIUM PRIORITY - Growth Opportunity"
"Letter To Maali (Official Video)","Shatta Wale",1,"",135449,7888,835,"5.82","0.62","6.44","📈 MEDIUM PRIORITY - Growth Opportunity"
"Flaunt (Audio Slide)","Shatta Wale","",1,76734,4382,718,"5.71","0.94","6.65","📈 MEDIUM PRIORITY - Growth Opportunity"
"Global Champion (Audio Slide)","Shatta Wale","",1,66690,5076,970,"7.61","1.45","9.07","📈 MEDIUM PRIORITY - Growth Opportunity"
"Jealousy (Official Video)","Shatta Wale",1,"",188273,11623,1228,"6.17","0.65","6.83","📈 MEDIUM PRIORITY - Growth Opportunity"
"Tears Ina Mi Eye. T.I.M.E (Audio Slide)","Shatta Wale","",1,129810,8584,1175,"6.61","0.91","7.52","📈 MEDIUM PRIORITY - Growth Opportunity"
"Born Crey (Audio Slide)","Shatta Wale","",1,56386,3574,447,"6.34","0.79","7.13","📈 MEDIUM PRIORITY - Growth Opportunity"
"No See Am Like That (Audio Slide)","Shatta Wale","",1,69871,3780,366,"5.41","0.52","5.93","📈 MEDIUM PRIORITY - Growth Opportunity"
"Jealousy (Audio Slide)","Shatta Wale","",1,71155,4514,666,"6.34","0.94","7.28","📈 MEDIUM PRIORITY - Growth Opportunity"
"Sacrifice (Audio Slide)","Shatta Wale","",1,107684,5386,620,"5.00","0.58","5.58","📈 MEDIUM PRIORITY - Growth Opportunity"
"Bandana (Audio Slide)","Shatta Wale","",1,102157,5327,683,"5.21","0.67","5.88","📈 MEDIUM PRIORITY - Growth Opportunity"
"A Goat Freestyle (Audio Slide)","Shatta Wale","",1,57611,3821,588,"6.63","1.02","7.65","📈 MEDIUM PRIORITY - Growth Opportunity"
"Dancehall Dweet (Audio Slide)","Shatta Wale","",1,97667,5121,854,"5.24","0.87","6.12","📈 MEDIUM PRIORITY - Growth Opportunity"
"Red Flag Boy (Audio Slide)","Shatta Wale","",1,51507,3597,424,"6.98","0.82","7.81","📈 MEDIUM PRIORITY - Growth Opportunity"
"Cartier Party (Audio Slide)","Shatta Wale","",1,54075,3393,424,"6.27","0.78","7.06","📈 MEDIUM PRIORITY - Growth Opportunity"
"Ragga Ragga (Audio Slide)","Shatta Wale","",1,102752,5493,721,"5.35","0.70","6.05","📈 MEDIUM PRIORITY - Growth Opportunity"
"Adansi3 (Testimony) (Audio Slide)","Shatta Wale","",1,69076,4112,389,"5.95","0.56","6.52","📈 MEDIUM PRIORITY - Growth Opportunity"
"Take Am (Audio Slide)","Shatta Wale","",1,106299,5687,714,"5.35","0.67","6.02","📈 MEDIUM PRIORITY - Growth Opportunity"
"Second God (Audio Slide)","Shatta Wale","",1,50922,3441,383,"6.76","0.75","7.51","📈 MEDIUM PRIORITY - Growth Opportunity"
"Your Rights (Audio Slide)","Shatta Wale","",1,126781,6669,1276,"5.26","1.01","6.27","📈 MEDIUM PRIORITY - Growth Opportunity"
"Apim (Audio Slide)","Shatta Wale","",1,76580,5026,512,"6.56","0.67","7.23","📈 MEDIUM PRIORITY - Growth Opportunity"
"Small But Mighty (Audio Slide)","Shatta Wale","",1,77560,5567,692,"7.18","0.89","8.07","📈 MEDIUM PRIORITY - Growth Opportunity"
"Dem Go Regret (Audio Slide)","Shatta Wale","",1,69080,4378,461,"6.34","0.67","7.00","📈 MEDIUM PRIORITY - Growth Opportunity"
"Shatta Wale X Medikal - Why Always Me (Audio Slide)","Shatta Wale","",1,78536,4757,325,"6.06","0.41","6.47","📈 MEDIUM PRIORITY - Growth Opportunity"
"Maya (Audio Slide)","Shatta Wale","",1,69196,3517,299,"5.08","0.43","5.51","📈 MEDIUM PRIORITY - Growth Opportunity"
"Hahaha(Audio Slide)","Shatta Wale","",1,55756,4053,559,"7.27","1.00","8.27","📈 MEDIUM PRIORITY - Growth Opportunity"
"Who Send You (Audio Slide)","Shatta Wale","",1,105002,5282,895,"5.03","0.85","5.88","📈 MEDIUM PRIORITY - Growth Opportunity"
"Yaa Mallam (Audio Slide)","Shatta Wale","",1,58996,4355,611,"7.38","1.04","8.42","📈 MEDIUM PRIORITY - Growth Opportunity"
"Jackpot (Audio Slide)","Shatta Wale","",1,63876,3368,676,"5.27","1.06","6.33","📈 MEDIUM PRIORITY - Growth Opportunity"
"Portable (Shatta Music) Audio","Shatta Wale","",1,64371,4242,389,"6.59","0.60","7.19","📈 MEDIUM PRIORITY - Growth Opportunity"
"Abonko (Audio Slide)","Shatta Wale","",1,99335,6604,1126,"6.65","1.13","7.78","📈 MEDIUM PRIORITY - Growth Opportunity"
"Shattafest (Visualizer)","Shatta Wale",1,"",191942,10227,825,"5.33","0.43","5.76","📈 MEDIUM PRIORITY - Growth Opportunity"
"Ona (Audio Slide)","Shatta Wale","",1,55855,3257,496,"5.83","0.89","6.72","📈 MEDIUM PRIORITY - Growth Opportunity"
"I See Dem (Shatta Music) Audio","Shatta Wale","",1,80219,4295,456,"5.35","0.57","5.92","📈 MEDIUM PRIORITY - Growth Opportunity"
"Yawa Ni (Audio Slide)","Shatta Wale","",1,81948,4100,477,"5.00","0.58","5.59","📈 MEDIUM PRIORITY - Growth Opportunity"
"King In A Life","Shatta Wale","",1,58469,4038,468,"6.91","0.80","7.71","📈 MEDIUM PRIORITY - Growth Opportunity"
"Sex In London (Audio)","Shatta Wale","",1,78424,4350,557,"5.55","0.71","6.26","📈 MEDIUM PRIORITY - Growth Opportunity"
"Ewi(Thief) Audio","Shatta Wale","",1,71694,5080,553,"7.09","0.77","7.86","📈 MEDIUM PRIORITY - Growth Opportunity"
"Campaign(Audio)","Shatta Wale","",1,89097,5125,552,"5.75","0.62","6.37","📈 MEDIUM PRIORITY - Growth Opportunity"
"Who Am I (Audio Slide)","Shatta Wale","",1,112173,7652,1223,"6.82","1.09","7.91","📈 MEDIUM PRIORITY - Growth Opportunity"
"So Many Years(Shattamusic) Audio","Shatta Wale","",1,127489,6462,831,"5.07","0.65","5.72","📈 MEDIUM PRIORITY - Growth Opportunity"
"One Thing (Audio Slide)","Shatta Wale","",1,50623,3083,398,"6.09","0.79","6.88","📈 MEDIUM PRIORITY - Growth Opportunity"
"2024 (Shattamusic) Audio","Shatta Wale","",1,105095,5657,807,"5.38","0.77","6.15","📈 MEDIUM PRIORITY - Growth Opportunity"
"Bushmeat (Audio Slide)","Shatta Wale","",1,56793,3091,363,"5.44","0.64","6.08","📈 MEDIUM PRIORITY - Growth Opportunity"
"Shatta Wale X Ara-B X Captan - Thugs (Audio Slide)","Shatta Wale","",1,67561,4180,651,"6.19","0.96","7.15","📈 MEDIUM PRIORITY - Growth Opportunity"
"Multi-Talented Freestyle (Audio Slide)","Shatta Wale","",1,55856,4012,548,"7.18","0.98","8.16","📈 MEDIUM PRIORITY - Growth Opportunity"
"Shatta Wale X Ara B - Party Mad (Audio Slide)","Shatta Wale","",1,52523,3472,495,"6.61","0.94","7.55","📈 MEDIUM PRIORITY - Growth Opportunity"
"45 Calibre (Audio Slide)","Shatta Wale","",1,59015,3729,431,"6.32","0.73","7.05","📈 MEDIUM PRIORITY - Growth Opportunity"
"I Want To Be Like Bandana (Audio Slide)","Shatta Wale","",1,68570,4356,598,"6.35","0.87","7.22","📈 MEDIUM PRIORITY - Growth Opportunity"
"Only God (Official Audio)","Shatta Wale","",1,81950,4266,506,"5.21","0.62","5.82","📈 MEDIUM PRIORITY - Growth Opportunity"
"Convos ( Audio Slide)","Shatta Wale","",1,58407,3146,413,"5.39","0.71","6.09","📈 MEDIUM PRIORITY - Growth Opportunity"
"Beef Shatta (Official Audio)","Shatta Wale","",1,80721,4504,475,"5.58","0.59","6.17","📈 MEDIUM PRIORITY - Growth Opportunity"
"Like Nyame [God] (Audio Slide)","Shatta Wale","",1,83687,4347,522,"5.19","0.62","5.82","📈 MEDIUM PRIORITY - Growth Opportunity"
"Diss-Side (Official Audio)","Shatta Wale","",1,88462,4582,812,"5.18","0.92","6.10","📈 MEDIUM PRIORITY - Growth Opportunity"
"Piece Of Cake (Official Video)","Shatta Wale",1,"",180857,9150,721,"5.06","0.40","5.46","📈 MEDIUM PRIORITY - Growth Opportunity"
"Can You (Audio Slide)","Shatta Wale","",1,70165,4733,673,"6.75","0.96","7.70","📈 MEDIUM PRIORITY - Growth Opportunity"
"Filo (Acoustic Version )","Shatta Wale",1,"",68245,4999,680,"7.33","1.00","8.32","📈 MEDIUM PRIORITY - Growth Opportunity"
"Born Great (Official Video)","Shatta Wale",1,"",153295,8394,1043,"5.48","0.68","6.16","📈 MEDIUM PRIORITY - Growth Opportunity"
"Settings (Audio Slide)","Shatta Wale","",1,90772,6602,1489,"7.27","1.64","8.91","📈 MEDIUM PRIORITY - Growth Opportunity"
"Dont Let Go (Audio Slide)","Shatta Wale","",1,52559,2923,295,"5.56","0.56","6.12","📈 MEDIUM PRIORITY - Growth Opportunity"
"Rich Life Feat. Disastrous (Official Video)","Shatta Wale",1,"",215899,11848,1368,"5.49","0.63","6.12","📈 MEDIUM PRIORITY - Growth Opportunity"
"We Taya (Audio Slide)","Shatta Wale","",1,73882,4680,555,"6.33","0.75","7.09","📈 MEDIUM PRIORITY - Growth Opportunity"
"Big Dreamer (Audio Slide)","Shatta Wale","",1,75314,5613,857,"7.45","1.14","8.59","📈 MEDIUM PRIORITY - Growth Opportunity"
"Blackboard (Viral Video)","Shatta Wale",1,"",115316,7051,531,"6.11","0.46","6.57","📈 MEDIUM PRIORITY - Growth Opportunity"
"Full Package (Audio Slide)","Shatta Wale","",1,83728,5014,582,"5.99","0.70","6.68","📈 MEDIUM PRIORITY - Growth Opportunity"
"7. Killa Weapon (Official Audio)","Shatta Wale","",1,51671,2753,340,"5.33","0.66","5.99","📈 MEDIUM PRIORITY - Growth Opportunity"
"So Real ,So Me (Audio Slide)","Shatta Wale","",1,110738,6754,1017,"6.10","0.92","7.02","📈 MEDIUM PRIORITY - Growth Opportunity"
"Un Announcement 2 (Audio Slide )","Shatta Wale","",1,54727,3429,490,"6.27","0.90","7.16","📈 MEDIUM PRIORITY - Growth Opportunity"
"Un General Announcement (Audio Slide)","Shatta Wale","",1,66068,4260,663,"6.45","1.00","7.45","📈 MEDIUM PRIORITY - Growth Opportunity"
"Dem Dead (Audio Slide)","Shatta Wale","",1,112819,5848,991,"5.18","0.88","6.06","📈 MEDIUM PRIORITY - Growth Opportunity"
"Which Gad (Audio Slide)","Shatta Wale","",1,109749,7924,1694,"7.22","1.54","8.76","📈 MEDIUM PRIORITY - Growth Opportunity"
"Real (Audio Slide)","Shatta Wale","",1,121288,6343,948,"5.23","0.78","6.01","📈 MEDIUM PRIORITY - Growth Opportunity"
"Lift (Audio Slide)","Shatta Wale","",1,74979,5317,832,"7.09","1.11","8.20","📈 MEDIUM PRIORITY - Growth Opportunity"
"3. They Will Know (Official Audio)","Shatta Wale","",1,68266,3766,431,"5.52","0.63","6.15","📈 MEDIUM PRIORITY - Growth Opportunity"
"Amakor (Audio Slide)","Shatta Wale","",1,68525,4287,529,"6.26","0.77","7.03","📈 MEDIUM PRIORITY - Growth Opportunity"
"The King Solomon Freestyle","Shatta Wale",1,"",81457,4474,420,"5.49","0.52","6.01","📈 MEDIUM PRIORITY - Growth Opportunity"
"It’S Raining (Audio Slide)","Shatta Wale","",1,33059,2353,185,"7.12","0.56","7.68","Not a priority"
"Shatta Wale X Ara-B - Hmmm Chale (Audio Slide)","Shatta Wale","",1,40997,3119,472,"7.61","1.15","8.76","Not a priority"
"Botoe [Listen] (Official Video)","Shatta Wale",1,"",1045934,23150,3717,"2.21","0.36","2.57","Not a priority"
"Big Man Ting (Audio Slide)","Shatta Wale","",1,85541,3739,759,"4.37","0.89","5.26","Not a priority"
"Amu Na Nya [Fakers] (Audio Slide)","Shatta Wale","",1,42314,2343,336,"5.54","0.79","6.33","Not a priority"
"I Don’T Care (Audio Slide)","Shatta Wale","",1,62304,3027,400,"4.86","0.64","5.50","Not a priority"
"What If [Symphony Riddim] (Audio Slide)","Shatta Wale","",1,135498,4938,1163,"3.64","0.86","4.50","Not a priority"
"Bullet Proof Vest (Official Lyrics Video)","Shatta Wale",1,"",70784,3457,475,"4.88","0.67","5.55","Not a priority"
"Network (Audio Slide)","Shatta Wale","",1,77656,3846,542,"4.95","0.70","5.65","Not a priority"
"Best Of Myself (Viral Video)","Shatta Wale",1,"",305125,10479,1140,"3.43","0.37","3.81","Not a priority"
